Date,Open,High,Low,Close,Volume,Adj Close
3/1/2017,804.900024,815.179993,804.820007,813.109985,1659400,813.109985
3/3/2017,795,799.5,794,799.369995,1260500,799.369995
3/4/2017,803.299988,803.969971,796.030029,796.969971,1734200,796.969971
3/10/2017,798.23999,804.599976,798.030029,801.5,116600,801.5
3/12/2017,787.849976,801.609985,785.565002,795.26001,1995600,795.26001
3/13/2017,779.799988,785.849976,777.5,779.960022,1089500,779.960022
3/15/2017,781.650024,783.950012,776,778.530029,851100,778.530029
3/16/2017,781.219971,781.219971,773,778.190002,1300400,778.190002
3/17/2017,783.76001,788.130005,782.059998,786.140015,934900,786.140015
3/18/2017,786.659973,792.280029,780.580017,783.070007,1368000,783.070007
